mean=1_3_3_3_3_3_3_3_4_4,0.2109,0.0523,0.181756735318_0.2368_0.2368_0.2368_0.2368_0.2368_0.2368_0.2368_0.1347_0.1347,0.137708685456_0.0455227613807_0.0455227613807_0.0455227613807_0.0455227613807_0.0455227613807_0.0455227613807_0.0455227613807_0.033400357462_0.033400357462,229,249,249,249,249,249,249,249,249,249,8,8,8,8,8,8,8,8,8,8
mean=1_1_1_1_1_1_3_5_5_5,0.4182,0.3055,0.620448422986_0.273385808506_0.273385808506_0.273385808506_0.273385808506_0.273385808506_0.2582_0.645464201473_0.645464201473_0.645464201473,0.104036348366_0.23427037729_0.23427037729_0.23427037729_0.23427037729_0.23427037729_0.0722861430715_0.569135922608_0.569135922608_0.569135922608,197,280,280,280,280,280,280,197,197,197,5,8,8,8,8,8,8,7,7,7
mean=0_0_0_1_2_3_3_3_4_5,0.3347,0.2407,0.364649681529_0.364649681529_0.396496815287_0.273385808506_0.1523_0.2368_0.2368_0.2582_0.2428625_0.821220244371,0.364649681529_0.364649681529_0.396496815287_0.23427037729_0.040412044374_0.0455227613807_0.0455227613807_0.0722861430715_0.033400357462_0.809889289214,229,229,249,280,249,249,249,280,249,229,8,8,8,8,8,8,8,8,7,8
mean=0_0_1_3_3_3_3_3_3_5,0.3244,0.2059,0.364649681529_0.364649681529_0.208583133978_0.2368_0.2368_0.2368_0.2582_0.2582_0.2582_0.821220244371,0.364649681529_0.364649681529_0.165979215216_0.0455227613807_0.0455227613807_0.0455227613807_0.0722861430715_0.0722861430715_0.0722861430715_0.809889289214,229,229,249,249,249,249,280,280,280,229,8,8,8,8,8,8,8,8,8,8
mean=0_1_1_1_1_3_5_5_5_5,0.5001,0.4614,0.364649681529_0.273385808506_0.273385808506_0.273385808506_0.273385808506_0.2582_0.821220244371_0.821220244371_0.821220244371_0.821220244371,0.364649681529_0.23427037729_0.23427037729_0.23427037729_0.23427037729_0.0722861430715_0.809889289214_0.809889289214_0.809889289214_0.809889289214,229,280,280,280,280,280,229,229,229,229,8,8,8,8,8,8,8,8,8,8
mean=0_0_0_0_0_0_0_1_3_5,0.4096,0.386,0.364649681529_0.396496815287_0.396496815287_0.396496815287_0.396496815287_0.396496815287_0.396496815287_0.273385808506_0.2582_0.821220244371,0.364649681529_0.396496815287_0.396496815287_0.396496815287_0.396496815287_0.396496815287_0.396496815287_0.23427037729_0.0722861430715_0.809889289214,229,249,249,249,249,249,249,280,280,229,8,8,8,8,8,8,8,8,8,8
mean=0_2_4_5_5_5_5_5_5_5,0.6057,0.4346,0.399482484077_0.2461875_0.2349875_0.73952471945_0.73952471945_0.73952471945_0.73952471945_0.73952471945_0.73952471945_0.73952471945,0.313694267516_0.0247905818429_0.0233467381591_0.569135922608_0.569135922608_0.569135922608_0.569135922608_0.569135922608_0.569135922608_0.569135922608,197,229,229,197,197,197,197,197,197,197,7,7,7,6,6,6,6,6,6,6
mean=0_0_0_3_3_3_3_3_4_4,0.2698,0.1442,0.364649681529_0.364649681529_0.364649681529_0.2368_0.2368_0.2368_0.2582_0.2582_0.1347_0.2428625,0.364649681529_0.364649681529_0.364649681529_0.0455227613807_0.0455227613807_0.0455227613807_0.0722861430715_0.0722861430715_0.033400357462_0.033400357462,229,229,229,249,249,249,280,280,249,249,8,8,8,8,8,8,8,8,8,7
mean=0_0_1_1_1_1_2_2_5_5,0.3811,0.3299,0.364649681529_0.364649681529_0.208583133978_0.273385808506_0.273385808506_0.273385808506_0.1523_0.2582625_0.821220244371_0.821220244371,0.364649681529_0.364649681529_0.165979215216_0.23427037729_0.23427037729_0.23427037729_0.040412044374_0.040412044374_0.809889289214_0.809889289214,229,229,249,280,280,280,249,249,229,229,8,8,8,8,8,8,8,7,8,8
mean=0_0_0_0_1_1_3_5_5_5,0.4956,0.3801,0.693613512284_0.396496815287_0.396496815287_0.445859872611_0.273385808506_0.273385808506_0.2582_0.73952471945_0.73952471945_0.73952471945,0.313694267516_0.396496815287_0.396496815287_0.445859872611_0.23427037729_0.23427037729_0.0722861430715_0.569135922608_0.569135922608_0.569135922608,197,249,249,280,280,280,280,197,197,197,5,8,8,8,8,8,8,6,6,6
