mean=0_1_1_1_3_4_4_4_4,0.1883,0.107,0.364649681529_0.181756735318_0.181756735318_0.208583133978_0.2191_0.1347_0.1347_0.1347_0.1347,0.364649681529_0.137708685456_0.137708685456_0.165979215216_0.0233866933467_0.033400357462_0.033400357462_0.033400357462_0.033400357462,229,229,229,249,229,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=0_1_1_1_2_2_2_2_2,0.1804,0.1038,0.262738853503_0.181756735318_0.208583133978_0.208583133978_0.1523_0.1523_0.1523_0.1523_0.1523,0.262738853503_0.137708685456_0.165979215216_0.165979215216_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374,165,229,249,249,249,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=0_1_1_1_2_3_3_4_4,0.2026,0.1098,0.364649681529_0.181756735318_0.208583133978_0.208583133978_0.1523_0.2191_0.2191_0.1347_0.1347,0.364649681529_0.137708685456_0.165979215216_0.165979215216_0.040412044374_0.0233866933467_0.0233866933467_0.033400357462_0.033400357462,229,229,249,249,249,229,229,249,249,8,8,8,8,8,8,8,8,8
mean=1_1_3_3_4_4_4_4_5,0.2432,0.1438,0.181756735318_0.208583133978_0.2191_0.2191_0.1347_0.1347_0.1347_0.1347_0.821220244371,0.137708685456_0.165979215216_0.0233866933467_0.0233866933467_0.033400357462_0.033400357462_0.033400357462_0.033400357462_0.809889289214,229,249,229,229,249,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=0_0_1_2_4_4_5_5_5,0.4841,0.3098,0.648117606915_0.396496815287_0.273385808506_0.2716_0.2665_0.2665_0.679346336199_0.777323844583_0.777323844583,0.21178343949_0.396496815287_0.23427037729_0.175458455966_0.18063002681_0.18063002681_0.469592105922_0.469592105922_0.469592105922,133,249,280,280,280,280,133,133,133,5,8,8,8,8,8,6,5,5
mean=1_2_2_2_3_3_4_5_5,0.3191,0.2201,0.181756735318_0.1523_0.1523_0.1523_0.2191_0.2368_0.1347_0.821220244371_0.821220244371,0.137708685456_0.040412044374_0.040412044374_0.040412044374_0.0233866933467_0.0455227613807_0.033400357462_0.809889289214_0.809889289214,229,249,249,249,229,249,249,229,229,8,8,8,8,8,8,8,8,8
mean=1_2_2_2_3_4_4_4_5,0.2299,0.1308,0.181756735318_0.1385_0.1523_0.1523_0.2191_0.1347_0.1347_0.1347_0.821220244371,0.137708685456_0.0247905818429_0.040412044374_0.040412044374_0.0233866933467_0.033400357462_0.033400357462_0.033400357462_0.809889289214,229,229,249,249,229,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=2_2_3_4_4_5_5_5_5,0.4775,0.3797,0.2461875_0.1523_0.2368_0.1347_0.2428625_0.821220244371_0.821220244371_0.821220244371_0.821220244371,0.0247905818429_0.040412044374_0.0455227613807_0.033400357462_0.033400357462_0.809889289214_0.809889289214_0.809889289214_0.809889289214,229,249,249,249,249,229,229,229,229,7,8,8,8,7,8,8,8,8
mean=0_0_1_2_2_4_4_4_5,0.2712,0.2064,0.364649681529_0.364649681529_0.181756735318_0.1523_0.1523_0.1347_0.1347_0.1347_0.821220244371,0.364649681529_0.364649681529_0.137708685456_0.040412044374_0.040412044374_0.033400357462_0.033400357462_0.033400357462_0.809889289214,229,229,229,249,249,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=2_2_3_3_3_4_5_5_5,0.4,0.2961,0.1385_0.1523_0.2368_0.2368_0.2368_0.1347_0.821220244371_0.821220244371_0.821220244371,0.0247905818429_0.040412044374_0.0455227613807_0.0455227613807_0.0455227613807_0.033400357462_0.809889289214_0.809889289214_0.809889289214,229,249,249,249,249,249,229,229,229,8,8,8,8,8,8,8,8,8
mean=0_0_1_2_2_3_4_4_5,0.2836,0.2085,0.364649681529_0.364649681529_0.208583133978_0.1523_0.1523_0.2191_0.1347_0.1347_0.821220244371,0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.040412044374_0.0233866933467_0.033400357462_0.033400357462_0.809889289214,229,229,249,249,249,229,249,249,229,8,8,8,8,8,8,8,8,8
mean=0_2_2_2_2_2_3_5_5,0.332,0.2455,0.364649681529_0.1523_0.1523_0.1523_0.1523_0.1523_0.2191_0.821220244371_0.821220244371,0.364649681529_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.0233866933467_0.809889289214_0.809889289214,229,249,249,249,249,249,229,229,229,8,8,8,8,8,8,8,8,8
mean=0_0_1_1_1_1_2_2_5,0.2958,0.2506,0.364649681529_0.364649681529_0.181756735318_0.208583133978_0.208583133978_0.208583133978_0.1523_0.1523_0.821220244371,0.364649681529_0.364649681529_0.137708685456_0.165979215216_0.165979215216_0.165979215216_0.040412044374_0.040412044374_0.809889289214,229,229,229,249,249,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=0_1_1_3_3_4_4_5_5,0.3415,0.2293,0.399482484077_0.208583133978_0.273385808506_0.2582_0.2582_0.2428625_0.2428625_0.594816230255_0.594816230255,0.313694267516_0.165979215216_0.23427037729_0.0722861430715_0.0722861430715_0.033400357462_0.033400357462_0.569135922608_0.569135922608,197,249,280,280,280,249,249,197,197,7,8,8,8,8,7,7,8,8
mean=0_0_1_3_3_3_4_4_5,0.3024,0.2096,0.364649681529_0.364649681529_0.208583133978_0.2191_0.2368_0.2368_0.1347_0.1347_0.821220244371,0.364649681529_0.364649681529_0.165979215216_0.0233866933467_0.0455227613807_0.0455227613807_0.033400357462_0.033400357462_0.809889289214,229,229,249,229,249,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=2_2_2_2_2_2_5_5_5,0.3737,0.2952,0.1385_0.1523_0.1523_0.1523_0.1523_0.1523_0.821220244371_0.821220244371_0.821220244371,0.0247905818429_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.809889289214_0.809889289214_0.809889289214,229,249,249,249,249,249,229,229,229,8,8,8,8,8,8,8,8,8
mean=0_2_2_3_3_5_5_5_5,0.498,0.3429,0.558803457689_0.2716_0.2716_0.2582_0.2582_0.645464201473_0.73952471945_0.73952471945_0.73952471945,0.313694267516_0.175458455966_0.175458455966_0.0722861430715_0.0722861430715_0.569135922608_0.569135922608_0.569135922608_0.569135922608,197,280,280,280,280,197,197,197,197,6,8,8,8,8,7,6,6,6
mean=0_0_1_1_3_4_4_4_4,0.2086,0.1322,0.364649681529_0.364649681529_0.181756735318_0.208583133978_0.2191_0.1347_0.1347_0.1347_0.1347,0.364649681529_0.364649681529_0.137708685456_0.165979215216_0.0233866933467_0.033400357462_0.033400357462_0.033400357462_0.033400357462,229,229,229,249,229,249,249,249,249,8,8,8,8,8,8,8,8,8
