mean=0_1_1_1,0.1326,0.0965,0.21178343949_0.106172157841_0.106172157841_0.106172157841,0.21178343949_0.0580552040462_0.0580552040462_0.0580552040462,133,133,133,133,8,8,8,8
mean=0_1_1_2,0.1366,0.0835,0.21178343949_0.106172157841_0.106172157841_0.1221,0.21178343949_0.0580552040462_0.0580552040462_0.00622594521168,133,133,133,133,8,8,8,8
mean=0_1_1_3,0.158,0.0843,0.21178343949_0.106172157841_0.106172157841_0.2078,0.21178343949_0.0580552040462_0.0580552040462_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_1_1_4,0.1322,0.082,0.21178343949_0.106172157841_0.106172157841_0.1048,0.21178343949_0.0580552040462_0.0580552040462_0.0,133,133,133,133,8,8,8,8
mean=0_1_2_2,0.1405,0.0706,0.21178343949_0.106172157841_0.1221_0.1221,0.21178343949_0.0580552040462_0.00622594521168_0.00622594521168,133,133,133,133,8,8,8,8
mean=0_1_2_3,0.162,0.0713,0.21178343949_0.106172157841_0.1221_0.2078,0.21178343949_0.0580552040462_0.00622594521168_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_1_2_4,0.1362,0.069,0.21178343949_0.106172157841_0.1221_0.1048,0.21178343949_0.0580552040462_0.00622594521168_0.0,133,133,133,133,8,8,8,8
mean=0_1_3_3,0.1834,0.0721,0.21178343949_0.106172157841_0.2078_0.2078,0.21178343949_0.0580552040462_0.00925462731366_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_1_3_4,0.1576,0.0698,0.21178343949_0.106172157841_0.2078_0.1048,0.21178343949_0.0580552040462_0.00925462731366_0.0,133,133,133,133,8,8,8,8
mean=0_1_4_4,0.1319,0.0675,0.21178343949_0.106172157841_0.1048_0.1048,0.21178343949_0.0580552040462_0.0_0.0,133,133,133,133,8,8,8,8
mean=0_2_2_2,0.1445,0.0576,0.21178343949_0.1221_0.1221_0.1221,0.21178343949_0.00622594521168_0.00622594521168_0.00622594521168,133,133,133,133,8,8,8,8
mean=0_2_2_3,0.1659,0.0584,0.21178343949_0.1221_0.1221_0.2078,0.21178343949_0.00622594521168_0.00622594521168_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_2_2_4,0.1402,0.0561,0.21178343949_0.1221_0.1221_0.1048,0.21178343949_0.00622594521168_0.00622594521168_0.0,133,133,133,133,8,8,8,8
mean=0_2_3_3,0.1874,0.0591,0.21178343949_0.1221_0.2078_0.2078,0.21178343949_0.00622594521168_0.00925462731366_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_2_3_4,0.1616,0.0568,0.21178343949_0.1221_0.2078_0.1048,0.21178343949_0.00622594521168_0.00925462731366_0.0,133,133,133,133,8,8,8,8
mean=0_2_4_4,0.1359,0.0545,0.21178343949_0.1221_0.1048_0.1048,0.21178343949_0.00622594521168_0.0_0.0,133,133,133,133,8,8,8,8
mean=0_3_3_3,0.2088,0.0599,0.21178343949_0.2078_0.2078_0.2078,0.21178343949_0.00925462731366_0.00925462731366_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_3_3_4,0.183,0.0576,0.21178343949_0.2078_0.2078_0.1048,0.21178343949_0.00925462731366_0.00925462731366_0.0,133,133,133,133,8,8,8,8
mean=0_3_4_4,0.1573,0.0553,0.21178343949_0.2078_0.1048_0.1048,0.21178343949_0.00925462731366_0.0_0.0,133,133,133,133,8,8,8,8
mean=0_4_4_4,0.1315,0.0529,0.21178343949_0.1048_0.1048_0.1048,0.21178343949_0.0_0.0_0.0,133,133,133,133,8,8,8,8
mean=1_1_1_1,0.1062,0.0581,0.106172157841_0.106172157841_0.106172157841_0.106172157841,0.0580552040462_0.0580552040462_0.0580552040462_0.0580552040462,133,133,133,133,8,8,8,8
mean=1_1_1_2,0.1102,0.0451,0.106172157841_0.106172157841_0.106172157841_0.1221,0.0580552040462_0.0580552040462_0.0580552040462_0.00622594521168,133,133,133,133,8,8,8,8
mean=1_1_1_3,0.1316,0.0459,0.106172157841_0.106172157841_0.106172157841_0.2078,0.0580552040462_0.0580552040462_0.0580552040462_0.00925462731366,133,133,133,133,8,8,8,8
mean=1_1_1_4,0.1058,0.0435,0.106172157841_0.106172157841_0.106172157841_0.1048,0.0580552040462_0.0580552040462_0.0580552040462_0.0,133,133,133,133,8,8,8,8
