mean=0_0_0_0_1_2_2,0.2526,0.2145,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.1523_0.1523,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.040412044374_0.040412044374,165,197,197,229,249,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_3,0.2694,0.2194,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.1523_0.2191,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.040412044374_0.0233866933467,197,197,197,229,249,249,229,8,8,8,8,8,8,8
mean=0_0_0_0_1_2_4,0.2501,0.2135,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.1523_0.1347,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.040412044374_0.033400357462,165,197,197,229,249,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_1_3_3,0.2815,0.2201,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.2191_0.2368,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.0233866933467_0.0455227613807,197,197,197,229,249,229,249,8,8,8,8,8,8,8
mean=0_0_0_0_1_3_4,0.2669,0.2184,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.2191_0.1347,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.0233866933467_0.033400357462,197,197,197,229,249,229,249,8,8,8,8,8,8,8
mean=0_0_0_0_1_4_4,0.2475,0.2125,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.1347_0.1347,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.033400357462_0.033400357462,165,197,197,229,249,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_2_2_2,0.2767,0.1237,0.310310509554_0.310310509554_0.310310509554_0.310310509554_0.2318375_0.2318375_0.2318375,0.21178343949_0.21178343949_0.21178343949_0.21178343949_0.00622594521168_0.00622594521168_0.00622594521168,133,133,133,133,133,133,133,7,7,7,7,7,7,7
mean=0_0_0_0_2_2_3,0.2882,0.197,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.2461875_0.2461875_0.2191,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.0247905818429_0.0247905818429_0.0233866933467,197,197,197,229,229,229,229,8,8,8,8,7,7,8
mean=0_0_0_0_2_2_4,0.2745,0.1228,0.310310509554_0.310310509554_0.310310509554_0.310310509554_0.2318375_0.2318375_0.2167,0.21178343949_0.21178343949_0.21178343949_0.21178343949_0.00622594521168_0.00622594521168_0.0,133,133,133,133,133,133,133,7,7,7,7,7,7,7
mean=0_0_0_0_2_3_3,0.2734,0.2022,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.1523_0.2191_0.2368,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.040412044374_0.0233866933467_0.0455227613807,197,197,197,229,249,229,249,8,8,8,8,8,8,8
