mean=0_0_0_1_1_3,0.2285,0.1812,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.181756735318_0.2191,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.137708685456_0.0233866933467,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_1_4,0.2129,0.1812,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.181756735318_0.1257,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.137708685456_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_2_2,0.2078,0.1626,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.1385_0.1385,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.0247905818429_0.0247905818429,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_2_3,0.2213,0.1624,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.1385_0.2191,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.0247905818429_0.0233866933467,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_2_4,0.2057,0.1623,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.1385_0.1257,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.0247905818429_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_3_3,0.2347,0.1621,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.2191_0.2191,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.0233866933467_0.0233866933467,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_3_4,0.2191,0.1621,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.2191_0.1257,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.0233866933467_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_1_4_4,0.2036,0.1621,0.262738853503_0.262738853503_0.262738853503_0.181756735318_0.1257_0.1257,0.262738853503_0.262738853503_0.262738853503_0.137708685456_0.0233467381591_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_2_2_2,0.2006,0.1438,0.262738853503_0.262738853503_0.262738853503_0.1385_0.1385_0.1385,0.262738853503_0.262738853503_0.262738853503_0.0247905818429_0.0247905818429_0.0247905818429,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_2_2_3,0.2141,0.1435,0.262738853503_0.262738853503_0.262738853503_0.1385_0.1385_0.2191,0.262738853503_0.262738853503_0.262738853503_0.0247905818429_0.0247905818429_0.0233866933467,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_2_2_4,0.1985,0.1435,0.262738853503_0.262738853503_0.262738853503_0.1385_0.1385_0.1257,0.262738853503_0.262738853503_0.262738853503_0.0247905818429_0.0247905818429_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_2_3_3,0.2275,0.1433,0.262738853503_0.262738853503_0.262738853503_0.1385_0.2191_0.2191,0.262738853503_0.262738853503_0.262738853503_0.0247905818429_0.0233866933467_0.0233866933467,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_2_3_4,0.2119,0.1433,0.262738853503_0.262738853503_0.262738853503_0.1385_0.2191_0.1257,0.262738853503_0.262738853503_0.262738853503_0.0247905818429_0.0233866933467_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_2_4_4,0.2586,0.0984,0.265724522293_0.310310509554_0.310310509554_0.2318375_0.2167_0.2167,0.160828025478_0.21178343949_0.21178343949_0.00622594521168_0.0_0.0,101,133,133,133,133,133,7,7,7,7,7,7
mean=0_0_0_3_3_3,0.2409,0.1431,0.262738853503_0.262738853503_0.262738853503_0.2191_0.2191_0.2191,0.262738853503_0.262738853503_0.262738853503_0.0233866933467_0.0233866933467_0.0233866933467,165,165,165,229,229,229,8,8,8,8,8,8
mean=0_0_0_3_3_4,0.2254,0.1431,0.262738853503_0.262738853503_0.262738853503_0.2191_0.2191_0.1257,0.262738853503_0.262738853503_0.262738853503_0.0233866933467_0.0233866933467_0.0233467381591,165,165,165,229,229,229,8,8,8,8,8,8
